numero_exp,ordre_date,genre,decision,decision_partner,same_ethnie,match,objectif,ethnie,ethnie_partner,importance_ethnie,corr_interest,age,age_partner,attr_eval,sinc_eval,intel_eval,fun_eval,amb_eval,shar_eval,attr_by_partner,sinc_by_partner,intel_by_partner,fun_by_partner,amb_by_partner,shar_by_partner,attr_pref_1,sinc_pref_1,intel_pref_1,fun_pref_1,amb_pref_1,shar_pref_1,attr_pref_2,sinc_pref_2,intel_pref_2,fun_pref_2,amb_pref_2,shar_pref_2,attr_autoeval_1,sinc_autoeval_1,intel_autoeval_1,fun_autoeval_1,amb_autoeval_1,attr_autoeval_2,sinc_autoeval_2,intel_autoeval_2,fun_autoeval_2,amb_autoeval_2,attr_pref_partner,sinc_pref_partner,intel_pref_partner,fun_pref_partner,amb_pref_partner,shar_pref_partner,attr_croyance,sinc_croyance,intel_croyance,fun_croyance,amb_croyance,shar_croyance
1,4,Femme,Oui,Non,Non,Non,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.14,21,27,15.0,22.5,17.5,17.5,15.0,12.5,13.64,18.18,18.18,18.18,18.18,13.64,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,35.0,20.0,20.0,20.0,0.0,5.0,35.0,20.0,15.0,20.0,5.0,5.0
1,3,Femme,Oui,Non,Non,Non,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.54,21,22,17.07,19.51,17.07,19.51,12.2,14.63,15.91,18.18,22.73,15.91,15.91,11.36,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,27.0,0.0,22.0,15.6,0.0,0.0,35.0,20.0,15.0,20.0,5.0,5.0
1,10,Femme,Oui,Oui,Oui,Oui,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Asiatique / Pacifique / Asiatique-Américain,2,0.16,21,22,11.9,19.05,21.43,19.05,11.900000000000002,16.67,16.67,16.67,16.67,16.67,16.67,16.67,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,19.0,18.0,19.0,18.0,14.0,12.0,35.0,20.0,15.0,20.0,5.0,5.0
1,5,Femme,Oui,Oui,Non,Oui,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.61,21,23,16.67,14.29,19.05,16.67,14.29,19.05,14.29,16.33,18.37,16.33,18.37,16.33,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,30.0,5.0,15.0,13.6,5.0,5.0,35.0,20.0,15.0,20.0,5.0,5.0
1,7,Femme,Oui,Oui,Non,Oui,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Latino / Hispanique-Américain,2,0.21,21,24,13.51,16.22,18.92,18.92,16.22,16.22,17.39,15.22,19.57,13.04,19.57,15.22,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,30.0,10.0,20.0,10.0,10.0,20.0,35.0,20.0,15.0,20.0,5.0,5.0
1,6,Femme,Non,Oui,Non,Non,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.25,21,25,11.76,26.47,20.59,11.76,17.65,11.76,15.91,15.91,18.18,18.18,15.91,15.91,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,28.006,0.0,30.0,10.0,0.0,10.0,35.0,20.0,15.0,20.0,5.0,5.0
1,1,Femme,Oui,Non,Non,Non,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.34,21,30,18.92,16.22,18.92,10.81,16.22,18.92,8.33,16.67,19.44,13.89,22.22,19.44,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,35.0,15.0,25.0,10.0,5.0,10.0,35.0,20.0,15.0,20.0,5.0,5.0
1,2,Femme,Non,Non,Non,Non,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.5,21,27,10.81,24.32,18.92,16.22,13.51,16.22,15.79,18.42,13.16,15.79,21.05,15.79,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,33.33,11.11,11.11,11.11,11.11,22.22,35.0,20.0,15.0,20.0,5.0,5.0
1,8,Femme,Oui,Oui,Non,Oui,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,0.28,21,28,15.22,13.04,17.39,19.57,17.39,17.39,14.89,14.89,17.02,17.02,17.02,19.15,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,27.0,0.0,25.0,10.0,0.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0
1,9,Femme,Oui,Non,Non,Non,Rencontrer de nouvelles personnes,Asiatique / Pacifique / Asiatique-Américain,Européen / Caucasien-Américain,2,-0.36,21,24,11.63,13.95,13.95,18.6,23.26,18.6,16.67,16.67,16.67,16.67,16.67,16.67,15.0,20.0,20.0,15.0,15.0,15.0,19.44,16.67,13.89,22.22,11.11,16.67,16.22,21.62,21.62,21.62,18.92,17.65,20.59,23.53,20.59,17.65,29.0,0.0,20.0,0.0,0.0,0.0,35.0,20.0,15.0,20.0,5.0,5.0
